Date	Client	Region	Month	Year	Quarter	Amount
15-Jul-2019	ABC Corporation	South	July	2019	Q3	1,741,089
19-Jul-2019	Bridges Company	East	July	2019	Q3	514,989
26-Jul-2019	Timefall Inc.	East	July	2019	Q3	230,071
11-Aug-2019	Chiral Corporation	North	August	2019	Q3	1,148,912
15-Aug-2019	Titan Industries	West	August	2019	Q3	405,991
22-Aug-2019	Eagle Security	South	August	2019	Q3	191,708
24-Aug-2019	Sol Company	South	August	2019	Q3	1,757,908
15-Sep-2019	Eagle Security	East	September	2019	Q3	1,209,282
17-Sep-2019	Titan Industries	West	September	2019	Q3	1,581,662
16-Oct-2019	Titan Industries	South	October	2019	Q4	376,043
25-Oct-2019	Timefall Inc.	East	October	2019	Q4	1,978,299
5-Nov-2019	Timefall Inc.	South	November	2019	Q4	914,785
19-Nov-2019	Timefall Inc.	East	November	2019	Q4	1,711,222
27-Nov-2019	Timefall Inc.	West	November	2019	Q4	1,257,231
25-Nov-2019	Timefall Inc.	South	November	2019	Q4	407,874
29-Nov-2019	Timefall Inc.	North	November	2019	Q4	589,765
25-Dec-2019	Titan Industries	North	December	2019	Q4	485,286
27-Dec-2019	Titan Industries	North	December	2019	Q4	467,422
30-Dec-2019	Titan Industries	East	December	2019	Q4	1,838,220
15-Jan-2020	Eagle Security	South	January	2020	Q1	1,958,181
25-Jan-2020	Titan Industries	North	January	2020	Q1	1,370,705
29-Jan-2020	Titan Industries	South	January	2020	Q1	1,683,109
1-Jan-2020	Titan Industries	East	January	2020	Q1	564,927
2-Jan-2020	Titan Industries	South	January	2020	Q1	239,424
2-Jan-2020	Titan Industries	East	January	2020	Q1	774,500
2-Jan-2020	Titan Industries	South	January	2020	Q1	1,096,869
3-Jan-2020	Titan Industries	South	January	2020	Q1	1,862,557
9-Jan-2020	Titan Industries	North	January	2020	Q1	1,437,017
9-Jan-2020	Titan Industries	South	January	2020	Q1	1,848,717
11-Jan-2020	Eagle Security	East	January	2020	Q1	1,933,018
11-Jan-2020	Eagle Security	South	January	2020	Q1	1,987,908
12-Jan-2020	Eagle Security	West	January	2020	Q1	1,264,058
12-Jan-2020	Eagle Security	West	January	2020	Q1	1,750,150
13-Jan-2020	Eagle Security	South	January	2020	Q1	1,495,289
13-Jan-2020	Eagle Security	East	January	2020	Q1	391,699
16-Jan-2020	Eagle Security	North	January	2020	Q1	877,778
16-Jan-2020	Eagle Security	North	January	2020	Q1	1,366,272
16-Jan-2020	Eagle Security	North	January	2020	Q1	1,766,994
16-Jan-2020	Chiral Corporation	South	January	2020	Q1	1,718,743
17-Jan-2020	Chiral Corporation	East	January	2020	Q1	538,621
23-Jan-2020	Chiral Corporation	West	January	2020	Q1	184,900
24-Jan-2020	Chiral Corporation	South	January	2020	Q1	1,598,219
26-Jan-2020	Eagle Security	North	January	2020	Q1	969,025
26-Jan-2020	Chiral Corporation	South	January	2020	Q1	1,988,680
28-Jan-2020	Chiral Corporation	East	January	2020	Q1	1,520,170
1-Feb-2020	Chiral Corporation	West	February	2020	Q1	756,093
2-Feb-2020	Chiral Corporation	South	February	2020	Q1	1,635,914
3-Feb-2020	Chiral Corporation	East	February	2020	Q1	1,704,629
10-Feb-2020	Chiral Corporation	South	February	2020	Q1	925,137
10-Feb-2020	Chiral Corporation	West	February	2020	Q1	1,246,174
14-Feb-2020	Chiral Corporation	South	February	2020	Q1	576,222
15-Feb-2020	Chiral Corporation	North	February	2020	Q1	953,291
17-Feb-2020	Chiral Corporation	East	February	2020	Q1	1,593,038
